id,lemma,pos,label,cosine,lang_pair,polysemy
test.en-fr.0,gently,ADV,F,0.9900963306427002,en-fr,unknown
test.en-fr.1,gently,ADV,F,0.9818530082702636,en-fr,unknown
test.en-fr.2,next,ADJ,T,0.9764571189880372,en-fr,unknown
test.en-fr.3,next,ADJ,T,0.9807143211364746,en-fr,unknown
test.en-fr.4,letter,NOUN,T,0.99080890417099,en-fr,unknown
test.en-fr.5,letter,NOUN,T,0.9856455326080322,en-fr,unknown
test.en-fr.6,intend,VERB,T,0.9804383516311646,en-fr,unknown
test.en-fr.7,intend,VERB,T,0.9821968674659728,en-fr,unknown
test.en-fr.8,true,ADJ,T,0.9812403917312622,en-fr,unknown
test.en-fr.9,true,ADJ,T,0.989489734172821,en-fr,unknown
test.en-fr.10,single,ADJ,F,0.9664538502693176,en-fr,unknown
test.en-fr.11,single,ADJ,F,0.9743559956550598,en-fr,unknown
test.en-fr.12,code,NOUN,T,0.9882747530937196,en-fr,unknown
test.en-fr.13,code,NOUN,T,0.9858668446540833,en-fr,unknown
test.en-fr.14,bill,NOUN,T,0.9851254820823668,en-fr,unknown
test.en-fr.15,bill,NOUN,T,0.9835488200187684,en-fr,unknown
test.en-fr.16,speech,NOUN,T,0.9895150065422058,en-fr,unknown
test.en-fr.17,speech,NOUN,T,0.9877795577049256,en-fr,unknown
test.en-fr.18,light,NOUN,F,0.9751810431480408,en-fr,polysemous
test.en-fr.19,light,NOUN,F,0.9724944233894348,en-fr,polysemous
test.en-fr.20,turn,VERB,F,0.9812624454498292,en-fr,monosemous
test.en-fr.21,turn,VERB,F,0.979764759540558,en-fr,monosemous
test.en-fr.22,affair,NOUN,T,0.9873590469360352,en-fr,unknown
test.en-fr.23,affair,NOUN,T,0.9915638566017152,en-fr,unknown
test.en-fr.24,rating,NOUN,T,0.9798457622528076,en-fr,unknown
test.en-fr.25,rating,NOUN,T,0.986731231212616,en-fr,unknown
test.en-fr.26,stem,VERB,T,0.9810672402381896,en-fr,monosemous
test.en-fr.27,stem,VERB,T,0.9800249338150024,en-fr,monosemous
test.en-fr.28,accession,NOUN,T,0.98267924785614,en-fr,unknown
test.en-fr.29,accession,NOUN,T,0.9820180535316468,en-fr,unknown
test.en-fr.30,deep,ADJ,T,0.9708402752876282,en-fr,unknown
test.en-fr.31,deep,ADJ,T,0.986242949962616,en-fr,unknown
test.en-fr.32,root,NOUN,F,0.9681949019432068,en-fr,monosemous
test.en-fr.33,root,NOUN,F,0.9652456045150756,en-fr,monosemous
test.en-fr.34,powerful,ADJ,T,0.9931556582450868,en-fr,unknown
test.en-fr.35,powerful,ADJ,T,0.9954185485839844,en-fr,unknown
test.en-fr.36,input,NOUN,F,0.9825288653373718,en-fr,unknown
test.en-fr.37,input,NOUN,F,0.9850191473960876,en-fr,unknown
test.en-fr.38,fertile,ADJ,F,0.9865980744361876,en-fr,unknown
test.en-fr.39,fertile,ADJ,F,0.9856919050216676,en-fr,unknown
test.en-fr.40,read,VERB,F,0.9834824204444884,en-fr,unknown
test.en-fr.41,read,VERB,F,0.9871450662612916,en-fr,unknown
test.en-fr.42,focus,NOUN,T,0.9835052490234376,en-fr,unknown
test.en-fr.43,focus,NOUN,T,0.9839865565299988,en-fr,unknown
test.en-fr.44,claim,NOUN,F,0.9807686805725098,en-fr,unknown
test.en-fr.45,claim,NOUN,F,0.9729260802268982,en-fr,unknown
test.en-fr.46,envelope,NOUN,T,0.9894615411758424,en-fr,unknown
test.en-fr.47,envelope,NOUN,T,0.9919246435165404,en-fr,unknown
test.en-fr.48,tribe,NOUN,T,0.985267698764801,en-fr,unknown
test.en-fr.49,tribe,NOUN,T,0.991218328475952,en-fr,unknown
test.en-fr.50,last,ADJ,T,0.984456479549408,en-fr,unknown
test.en-fr.51,last,ADJ,F,0.9822792410850524,en-fr,unknown
test.en-fr.52,share,NOUN,F,0.9854814410209656,en-fr,unknown
test.en-fr.53,share,NOUN,F,0.98607736825943,en-fr,unknown
test.en-fr.54,offensive,ADJ,F,0.991969645023346,en-fr,unknown
test.en-fr.55,offensive,ADJ,F,0.989817202091217,en-fr,unknown
test.en-fr.56,virtue,NOUN,F,0.9769034385681152,en-fr,unknown
test.en-fr.57,virtue,NOUN,F,0.9746370315551758,en-fr,unknown
test.en-fr.58,deliver,VERB,F,0.9899235963821412,en-fr,unknown
test.en-fr.59,deliver,VERB,F,0.983777403831482,en-fr,unknown
test.en-fr.60,grant,NOUN,T,0.9931624531745912,en-fr,monosemous
test.en-fr.61,grant,NOUN,T,0.99099463224411,en-fr,monosemous
test.en-fr.62,lead,NOUN,F,0.983043909072876,en-fr,monosemous
test.en-fr.63,lead,NOUN,F,0.9767205715179444,en-fr,monosemous
test.en-fr.64,win,VERB,T,0.9862690567970276,en-fr,unknown
test.en-fr.65,win,VERB,T,0.988350749015808,en-fr,unknown
test.en-fr.66,burden,NOUN,T,0.981544315814972,en-fr,unknown
test.en-fr.67,burden,NOUN,T,0.9849027395248412,en-fr,unknown
test.en-fr.68,proof,NOUN,T,0.985327959060669,en-fr,unknown
test.en-fr.69,proof,NOUN,T,0.9906094670295716,en-fr,unknown
test.en-fr.70,satisfy,VERB,T,0.9887588024139404,en-fr,unknown
test.en-fr.71,satisfy,VERB,T,0.9855343103408812,en-fr,unknown
test.en-fr.72,resistance,NOUN,F,0.9888719916343688,en-fr,unknown
test.en-fr.73,resistance,NOUN,F,0.9886165857315063,en-fr,unknown
test.en-fr.74,highly,ADV,T,0.9883489608764648,en-fr,unknown
test.en-fr.75,highly,ADV,T,0.9849933981895448,en-fr,unknown
test.en-fr.76,progression,NOUN,F,0.9814605712890624,en-fr,unknown
test.en-fr.77,progression,NOUN,F,0.989173412322998,en-fr,unknown
test.en-fr.78,produce,VERB,F,0.9826039671897888,en-fr,unknown
test.en-fr.79,produce,VERB,F,0.9873223304748536,en-fr,unknown
test.en-fr.80,spray,NOUN,T,0.9718552827835084,en-fr,unknown
test.en-fr.81,spray,NOUN,T,0.9847268462181092,en-fr,unknown
test.en-fr.82,assumption,NOUN,T,0.9826092720031738,en-fr,unknown
test.en-fr.83,assumption,NOUN,T,0.9885199069976808,en-fr,unknown
test.en-fr.84,subscriber,NOUN,T,0.9864367842674256,en-fr,unknown
test.en-fr.85,subscriber,NOUN,T,0.9854615926742554,en-fr,unknown
test.en-fr.86,analyse,VERB,T,0.9943926334381104,en-fr,unknown
test.en-fr.87,analyse,VERB,T,0.9924633502960204,en-fr,unknown
test.en-fr.88,jungle,NOUN,T,0.9883909225463868,en-fr,unknown
test.en-fr.89,jungle,NOUN,F,0.9843613505363464,en-fr,unknown
test.en-fr.90,conservation,NOUN,F,0.9918087124824524,en-fr,unknown
test.en-fr.91,conservation,NOUN,F,0.9920374751091005,en-fr,unknown
test.en-fr.92,handle,VERB,T,0.9891577959060668,en-fr,unknown
test.en-fr.93,handle,VERB,T,0.9874749779701232,en-fr,unknown
test.en-fr.94,licence,NOUN,T,0.9914318323135376,en-fr,unknown
test.en-fr.95,licence,NOUN,T,0.9851986169815063,en-fr,unknown
test.en-fr.96,yield,VERB,F,0.9765197038650512,en-fr,monosemous
test.en-fr.97,yield,VERB,F,0.984712302684784,en-fr,monosemous
test.en-fr.98,electric,ADJ,T,0.9876009225845336,en-fr,unknown
test.en-fr.99,electric,ADJ,T,0.9855373501777648,en-fr,unknown
test.en-fr.100,short,ADJ,F,0.9746164083480836,en-fr,monosemous
test.en-fr.101,short,ADJ,F,0.9825218915939332,en-fr,monosemous
test.en-fr.102,offend,VERB,F,0.9867371320724488,en-fr,unknown
test.en-fr.103,offend,VERB,F,0.9839078187942504,en-fr,unknown
test.en-fr.104,owe,VERB,T,0.982919991016388,en-fr,unknown
test.en-fr.105,owe,VERB,T,0.9846943616867064,en-fr,unknown
test.en-fr.106,means,NOUN,T,0.9850209355354308,en-fr,unknown
test.en-fr.107,means,NOUN,T,0.9807342290878296,en-fr,unknown
test.en-fr.108,contend,VERB,T,0.9884781241416932,en-fr,unknown
test.en-fr.109,contend,VERB,T,0.985275387763977,en-fr,unknown
test.en-fr.110,tricky,ADJ,T,0.9896218180656432,en-fr,unknown
test.en-fr.111,tricky,ADJ,T,0.9893388152122498,en-fr,unknown
test.en-fr.112,go,VERB,F,0.9846132397651672,en-fr,unknown
test.en-fr.113,go,VERB,F,0.9800568222999572,en-fr,unknown
test.en-fr.114,series,NOUN,T,0.9903995394706726,en-fr,unknown
test.en-fr.115,series,NOUN,T,0.9933454990386964,en-fr,unknown
test.en-fr.116,adopt,VERB,T,0.9863672852516174,en-fr,unknown
test.en-fr.117,adopt,VERB,T,0.9871476888656616,en-fr,unknown
test.en-fr.118,previous,ADJ,T,0.9780948162078856,en-fr,unknown
test.en-fr.119,previous,ADJ,T,0.9846317172050476,en-fr,unknown
test.en-fr.120,particular,ADJ,F,0.9855738878250122,en-fr,monosemous
test.en-fr.121,particular,ADJ,F,0.980670154094696,en-fr,monosemous
test.en-fr.122,recall,VERB,T,0.9927369952201844,en-fr,unknown
test.en-fr.123,recall,VERB,T,0.9902965426445008,en-fr,unknown
test.en-fr.124,make,VERB,F,0.9816370606422424,en-fr,unknown
test.en-fr.125,make,VERB,F,0.97850900888443,en-fr,unknown
test.en-fr.126,condemn,VERB,T,0.9826402068138124,en-fr,unknown
test.en-fr.127,condemn,VERB,T,0.9838740825653076,en-fr,unknown
test.en-fr.128,well,ADV,F,0.9819988012313844,en-fr,unknown
test.en-fr.129,well,ADV,F,0.9880275130271912,en-fr,unknown
test.en-fr.130,death,NOUN,F,0.9893726706504822,en-fr,unknown
test.en-fr.131,death,NOUN,F,0.9908546209335328,en-fr,unknown
